trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",20,0,-145.14536250577595,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1}",30,0,-49.926882515275565,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-47.488462592007416,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1}",20,0,-67.23055830424931,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1}",20,0,-34.955168167091294,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1}",20,0,-82.8130385261002,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1}",20,0,-102.30140848734398,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1}",20,0,-39.55040581185479,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1}",25,0,-76.6891810079496,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",25,0,-113.81098166175353,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1}",20,10,-37.421262636034484,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1}",20,0,-137.4791495735202,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1}",20,0,-109.49674528931993,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1}",30,0,-254.4525780595216,"{0: 12, 1: 4, 2: 7, 3: 5, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1}",25,0,-149.3086837944535,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-86.9392459506682,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",25,0,-110.71657403573644,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1}",25,0,-131.68277359470105,"{0: 12, 1: 3, 2: 7, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1}",20,0,-188.14280504905875,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1}",25,0,-70.5748923348247,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
