trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-100,-567.0110316514814,"{0: 78, 1: 14, 2: 19, 3: 7, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-643.8702110531152,"{0: 76, 1: 14, 2: 23, 3: 1, 4: 11}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-65,-501.36713220962326,"{0: 57, 1: 5, 2: 16, 3: 4, 4: 8}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,-67,-382.92545277986807,"{0: 55, 1: 6, 2: 24, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,-100,-667.2814754794024,"{0: 79, 1: 14, 2: 29, 3: 5, 4: 8}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-100,-609.9270352988341,"{0: 78, 1: 9, 2: 18, 3: 5, 4: 10}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-11,-165.1253356435194,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-52,-244.46313529242042,"{0: 48, 1: 7, 2: 19, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-15,-259.7941655137432,"{0: 22, 1: 4, 2: 7, 3: 4, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-5,-94.84077489268981,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,-69,-333.36834209790106,"{0: 59, 1: 8, 2: 21, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-25,-312.54160876751587,"{0: 26, 1: 8, 2: 10, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-9,-102.17012091337192,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-100,-562.6141096927718,"{0: 78, 1: 10, 2: 26, 3: 3, 4: 8}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,-71,-437.3826390554063,"{0: 60, 1: 9, 2: 18, 3: 3, 4: 6}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-100,-503.0684861880014,"{0: 82, 1: 8, 2: 23, 3: 6, 4: 6}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,-43.195754957239785,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-34,-340.4736416867671,"{0: 33, 1: 4, 2: 13, 3: 6, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,1,-154.7065693161095,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,-100,-425.0572293232044,"{0: 85, 1: 12, 2: 26, 3: 3, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,3,-56.07890662961109,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",35,-37,-383.46861848363443,"{0: 45, 1: 6, 2: 13, 3: 2, 4: 6}",0
3,True,"{'a': 0, 'e': 0}",30,-100,-703.6841866402427,"{0: 77, 1: 13, 2: 24, 3: 6, 4: 10}",0
4,True,"{'a': 0, 'e': 0}",30,-100,-539.2017897627318,"{0: 83, 1: 14, 2: 20, 3: 6, 4: 7}",0
5,True,"{'a': 0, 'e': 0}",30,-100,-576.2713076080059,"{0: 80, 1: 5, 2: 36, 3: 2, 4: 7}",0
6,True,"{'a': 0, 'e': 0}",25,-79,-507.3696200431299,"{0: 63, 1: 9, 2: 20, 3: 6, 4: 6}",0
7,True,"{'a': 0, 'e': 0}",20,-100,-638.8535808996571,"{0: 70, 1: 14, 2: 24, 3: 3, 4: 9}",0
8,True,"{'a': 0, 'e': 0}",25,-100,-608.6581919765144,"{0: 75, 1: 13, 2: 23, 3: 7, 4: 7}",0
9,True,"{'a': 0, 'e': 0}",20,-100,-651.9556081045389,"{0: 70, 1: 11, 2: 27, 3: 3, 4: 9}",0
10,True,"{'a': 0, 'e': 0}",20,-81,-504.6761162023965,"{0: 59, 1: 13, 2: 17, 3: 6, 4: 6}",0
